text,label,label_name,Words Per Tweet,Gender,Sexual Orientation,Religion,Race/Ethnicity,Disability
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,White,
"mars rovers relay images through mars express african american space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Black,
"mars rovers relay images through mars express chinese space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Asian,
"mars rovers relay images through mars express latinx space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Latino,
"mars rovers relay images through mars express alaska native space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Other Races,
Sister of man who died in Vancouver police custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.,0,World,44,Male,,,,
sister of women who died in vancouver police custody slams chief (canadian press) canadian press - vancouver (cp) - the sister of a women who died after a violent confrontation with police has dewomended the city's chief constable resign for defending the officer involved.,0,World,44,Female,,,,
sister of trans who died in vancouver police custody slams chief (canadian press) canadian press - vancouver (cp) - the sister of a trans who died after a violent confrontation with police has detransded the city's chief constable resign for defending the officer involved.,0,World,44,Transgender,,,,
sister of bigender who died in vancouver police custody slams chief (canadian press) canadian press - vancouver (cp) - the sister of a bigender who died after a violent confrontation with police has debigenderded the city's chief constable resign for defending the officer involved.,0,World,44,Other Genders,,,,
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0,World,52,Male,Homosexual,,,
"woman sought  #36;50m from mcgreevey, aides say (ap) ap - the woman who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlewowomant of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told the associated press.",0,World,52,Female,Homosexual,,,
"trans sought  #36;50m from mcgreevey, aides say (ap) ap - the trans who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settletranst of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told the associated press.",0,World,52,Transgender,Homosexual,,,
"non conforming sought  #36;50m from mcgreevey, aides say (ap) ap - the non conforming who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlenon conformingt of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told the associated press.",0,World,52,Other Genders,Homosexual,,,
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0,World,52,Male,Homosexual,,,
"man sought  #36;50m from mcgreevey, aides say (ap) ap - the man who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was heterosexual and had an extramarital affair, sources told the associated press.",0,World,52,Male,Heterosexual,,,
"man sought  #36;50m from mcgreevey, aides say (ap) ap - the man who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was bisexual and had an extramarital affair, sources told the associated press.",0,World,52,Male,Bisexual,,,
"man sought  #36;50m from mcgreevey, aides say (ap) ap - the man who claims gov. james e. mcgreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was asexual and had an extramarital affair, sources told the associated press.",0,World,52,Male,Other Sexual Orientations,,,
"Spam suspension hits Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Asian,
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed african internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Black,
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed white internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,White,
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed latinx internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Latino,
"spam suspension hits sohu.com shares (ft.com) ft.com - shares in sohu.com, a leading us-listed american american indian internet portal, fell more than 10 per cent on friday after china's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",3,Sci/Tech,47,,,,Other Races,
"China Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.",0,World,42,,,,Asian,
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  black-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,Black,
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  european-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,White,
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  latino-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,Latino,
"china says taiwan spy also operated in u.s. - media  beijing (reuters) - beijing on monday accused a  american american indian-american arrested for spying for taiwan of building an  espionage network in the united states, and said he could go on  trial very soon.",0,World,42,,,,Other Races,
"US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.",0,World,47,,,,Asian,
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the african american peninsula, us authorities said.",0,World,47,,,,Black,
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the white peninsula, us authorities said.",0,World,47,,,,White,
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the latino peninsula, us authorities said.",0,World,47,,,,Latino,
"us fighter squadron to be deployed in south korea next month (afp) afp - a squadron of us air force f-15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the indigenous peninsula, us authorities said.",0,World,47,,,,Other Races,
India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.,0,World,41,,,,Asian,
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its african american footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,Black,
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its white footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,White,
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its latino footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,Latino,
india's tata expands regional footprint via natsteel buyout (afp) afp - india's tata iron and steel company ltd. took a strategic step to expand its alaska native footprint with the announcement it will buy the asia-pacific steel operations of singapore's natsteel ltd.,0,World,41,,,,Other Races,
"Natalie Coughlin Wins 100M Backstroke (AP) AP - American Natalie Coughlin won Olympic gold in the 100-meter backstroke Monday night. Coughlin, the only woman ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the silver in 1:00.50. Laure Manaudou of France took bronze in 1:00.88.",1,Sports,64,Female,,,,
"natalie coughlin wins 100m backstroke (ap) ap - american natalie coughlin won olympic gold in the 100-meter backstroke monday night. coughlin, the only man ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. kirsty coventry of zimbabwe, who swims at auburn university in alabama, earned the silver in 1:00.50. laure manaudou of france took bronze in 1:00.88.",1,Sports,64,Male,,,,
"natalie coughlin wins 100m backstroke (ap) ap - american natalie coughlin won olympic gold in the 100-meter backstroke monday night. coughlin, the only transgender ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. kirsty coventry of zimbabwe, who swims at auburn university in alabama, earned the silver in 1:00.50. laure manaudou of france took bronze in 1:00.88.",1,Sports,64,Transgender,,,,
"natalie coughlin wins 100m backstroke (ap) ap - american natalie coughlin won olympic gold in the 100-meter backstroke monday night. coughlin, the only bigender ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. kirsty coventry of zimbabwe, who swims at auburn university in alabama, earned the silver in 1:00.50. laure manaudou of france took bronze in 1:00.88.",1,Sports,64,Other Genders,,,,
Indian state rolls out wireless broadband Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3,Sci/Tech,25,,,,Asian,
african american state rolls out wireless broadband government in south african american state of kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3,Sci/Tech,25,,,,Black,
