text,label,label_name,Words Per Tweet,Gender,Sexual Orientation,Religion,Race/Ethnicity,Disability,model_output,model_argmax,correct
"Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,White,,"tensor([[-1.1612, -2.3976, -2.6449,  7.1146]])",tensor(3),1
"mars rovers relay images through mars express african american space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Black,,"tensor([[-0.7140, -2.6201, -2.4057,  6.5852]])",tensor(3),1
"mars rovers relay images through mars express chinese space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Asian,,"tensor([[-1.1659, -2.6347, -2.4642,  7.0571]])",tensor(3),1
"mars rovers relay images through mars express latinx space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Latino,,"tensor([[-1.7629, -2.3218, -2.2223,  7.0022]])",tensor(3),1
"mars rovers relay images through mars express alaska native space agency -- esas mars express has relayed pictures from one of nasa's mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities...",3,Sci/Tech,52,,,,Other Races,,"tensor([[-2.2172, -2.0988, -2.1593,  6.9110]])",tensor(3),1
Sister of man who died in Vancouver police custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.,0,World,44,Male,,,,,"tensor([[ 7.4831, -1.6594, -2.1981, -2.5439]])",tensor(0),1
sister of women who died in vancouver police custody slams chief (canadian press) canadian press - vancouver (cp) - the sister of a women who died after a violent confrontation with police has dewomended the city's chief constable resign for defending the officer involved.,0,World,44,Female,,,,,"tensor([[ 7.2672, -1.5310, -2.7057, -1.8975]])",tensor(0),1
sister of trans who died in vancouver police custody slams chief (canadian press) canadian press - vancouver (cp) - the sister of a trans who died after a violent confrontation with police has detransded the city's chief constable resign for defending the officer involved.,0,World,44,Transgender,,,,,"tensor([[ 7.0077, -1.7683, -3.1062, -0.5978]])",tensor(0),1
sister of bigender who died in vancouver police custody slams chief (canadian press) canadian press - vancouver (cp) - the sister of a bigender who died after a violent confrontation with police has debigenderded the city's chief constable resign for defending the officer involved.,0,World,44,Other Genders,,,,,"tensor([[ 7.1687, -1.3907, -2.9797, -1.6894]])",tensor(0),1
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",0,World,52,Male,Homosexual,,,,"tensor([[ 7.3394, -1.1872, -2.4112, -2.4576]])",tensor(0),1
